"","Long","Lat","Timestamp","v","u"
"64","-156.48","58.70","2022-06-01 03:00:00","0.259100837207493","-5.18914276675346"
"65","-156.23","58.70","2022-06-01 03:00:00","-0.149756370269565","-4.77577445869154"
"66","-155.98","58.70","2022-06-01 03:00:00","-0.382985200809632","-4.2027508847115"
"67","-157.23","58.45","2022-06-01 03:00:00","-0.91375747879627","-3.34547152206418"
"68","-156.98","58.45","2022-06-01 03:00:00","-0.229266198862769","-4.40856734707986"
"69","-156.73","58.45","2022-06-01 03:00:00","-0.0720134267562087","-4.71885388562508"
"70","-156.48","58.45","2022-06-01 03:00:00","-0.477336864073568","-4.58661767624507"
"71","-156.23","58.45","2022-06-01 03:00:00","-1.03284553317809","-4.2680012977389"
"72","-155.98","58.45","2022-06-01 03:00:00","-1.37950838584446","-3.76959920674233"
"73","-157.23","58.95","2022-06-01 04:00:00","0.499397208066956","-4.60570689282224"
"74","-156.98","58.95","2022-06-01 04:00:00","0.622725786640416","-5.02983457750038"
"75","-156.73","58.95","2022-06-01 04:00:00","0.543922712079151","-5.13777542032763"
"76","-156.48","58.95","2022-06-01 04:00:00","0.280303458165681","-4.9638900111429"
"77","-156.23","58.95","2022-06-01 04:00:00","-0.0094656949295544","-4.62791979938476"
"78","-155.98","58.95","2022-06-01 04:00:00","-0.155410402525081","-4.2450942378463"
"79","-157.23","58.70","2022-06-01 04:00:00","-0.101697096097672","-4.14062416166944"
"80","-156.98","58.70","2022-06-01 04:00:00","0.178530877566379","-4.84796640501974"
"81","-156.73","58.70","2022-06-01 04:00:00","0.0721643957594693","-5.07391331396038"
"82","-156.48","58.70","2022-06-01 04:00:00","-0.320790845998947","-4.94480079456573"
"83","-156.23","58.70","2022-06-01 04:00:00","-0.666040190601441","-4.59668289953121"
"84","-155.98","58.70","2022-06-01 04:00:00","-0.776647196599988","-4.0618377587055"
"85","-157.23","58.45","2022-06-01 04:00:00","-1.13179109764964","-3.52317477456435"
"86","-156.98","58.45","2022-06-01 04:00:00","-0.619747801509397","-4.3384578607419"
"87","-156.73","58.45","2022-06-01 04:00:00","-0.603492458774786","-4.51269034659168"
"88","-156.48","58.45","2022-06-01 04:00:00","-1.03249215616212","-4.35199385067844"
"89","-156.23","58.45","2022-06-01 04:00:00","-1.49470929305062","-4.03372454883731"
"90","-155.98","58.45","2022-06-01 04:00:00","-1.69684094618534","-3.5412227611464"
"91","-157.23","58.95","2022-06-01 05:00:00","0.074284657855288","-5.04996502407267"
"92","-156.98","58.95","2022-06-01 05:00:00","0.0375334481944289","-5.39704168911206"
"93","-156.73","58.95","2022-06-01 05:00:00","-0.128553749311377","-5.35053341599678"
"94","-156.48","58.95","2022-06-01 05:00:00","-0.434224868125253","-4.94445371790069"
"95","-156.23","58.95","2022-06-01 05:00:00","-0.693603597847085","-4.31485664751922"
"96","-155.98","58.95","2022-06-01 05:00:00","-0.708798809533786","-3.57835996430562"
"97","-157.23","58.70","2022-06-01 05:00:00","-0.282272751258239","-4.68761698577153"
"98","-156.98","58.70","2022-06-01 05:00:00","-0.161417811796568","-5.14332864696826"
"99","-156.73","58.70","2022-06-01 05:00:00","-0.325384747206555","-5.16172371021535"
"100","-156.48","58.70","2022-06-01 05:00:00","-0.669220583745169","-4.88232699485864"
"101","-156.23","58.70","2022-06-01 05:00:00","-0.93142632959476","-4.37420675724096"
"102","-155.98","58.70","2022-06-01 05:00:00","-0.952275573536978","-3.64708114398342"
"103","-157.23","58.45","2022-06-01 05:00:00","-1.21236105729075","-4.16908444820267"
"104","-156.98","58.45","2022-06-01 05:00:00","-0.938493869914155","-4.62896102937988"
"105","-156.73","58.45","2022-06-01 05:00:00","-1.01128953520393","-4.57481706963373"
"106","-156.48","58.45","2022-06-01 05:00:00","-1.34417068424748","-4.25932438111292"
"107","-156.23","58.45","2022-06-01 05:00:00","-1.64277426274196","-3.72933831359776"
"108","-155.98","58.45","2022-06-01 05:00:00","-1.72228409133517","-3.01297207695644"
"109","-157.23","58.95","2022-06-01 06:00:00","-0.393233134272756","-6.0880713292055"
"110","-156.98","58.95","2022-06-01 06:00:00","-0.524336007197551","-6.28208718496253"
"111","-156.73","58.95","2022-06-01 06:00:00","-0.708445432517817","-5.99540185963999"
"112","-156.48","58.95","2022-06-01 06:00:00","-0.949801934425189","-5.28528300296938"
"113","-156.23","58.95","2022-06-01 06:00:00","-1.13073096660173","-4.31312126419402"
"114","-155.98","58.95","2022-06-01 06:00:00","-1.04627385978494","-3.27258542240591"
"115","-157.23","58.70","2022-06-01 06:00:00","-0.388992610081118","-5.7101048409776"
"116","-156.98","58.70","2022-06-01 06:00:00","-0.482284142297145","-5.93778713324344"
"117","-156.73","58.70","2022-06-01 06:00:00","-0.751204051450162","-5.66845564117287"
"118","-156.48","58.70","2022-06-01 06:00:00","-1.09892703516444","-5.05170040739786"
"119","-156.23","58.70","2022-06-01 06:00:00","-1.29752491813947","-4.20934534134724"
"120","-155.98","58.70","2022-06-01 06:00:00","-1.2105941722109","-3.28369187568717"
"121","-157.23","58.45","2022-06-01 06:00:00","-0.898915644125538","-5.1946959933941"
"122","-156.98","58.45","2022-06-01 06:00:00","-0.952275573536978","-5.31339621283757"
"123","-156.73","58.45","2022-06-01 06:00:00","-1.2819763294368","-4.91772881469265"
"124","-156.48","58.45","2022-06-01 06:00:00","-1.67245793208343","-4.26869545106898"
"125","-156.23","58.45","2022-06-01 06:00:00","-1.91134079487901","-3.52074523790908"
"126","-155.98","58.45","2022-06-01 06:00:00","-1.85904099651548","-2.70858584171689"
"127","-157.23","58.95","2022-06-01 07:00:00","-0.312309797615672","-7.39793866306419"
"128","-156.98","58.95","2022-06-01 07:00:00","-0.507020533415031","-7.27299106365001"
"129","-156.73","58.95","2022-06-01 07:00:00","-0.73777572484331","-6.65692998320508"
"130","-156.48","58.95","2022-06-01 07:00:00","-0.994327438437384","-5.62125321472751"
"131","-156.23","58.95","2022-06-01 07:00:00","-1.17454971658198","-4.35268800400851"
"132","-155.98","58.95","2022-06-01 07:00:00","-1.06394271058343","-3.11327723315283"
"133","-157.23","58.70","2022-06-01 07:00:00","-0.226439182735011","-6.93979746521219"
"134","-156.98","58.70","2022-06-01 07:00:00","-0.553312922507075","-6.88738888879124"
"135","-156.73","58.70","2022-06-01 07:00:00","-0.94768167232937","-6.3091591648356"
"136","-156.48","58.70","2022-06-01 07:00:00","-1.33922340602391","-5.39218261580151"
"137","-156.23","58.70","2022-06-01 07:00:00","-1.53146050271148","-4.21524564465291"
"138","-155.98","58.70","2022-06-01 07:00:00","-1.38692930317983","-3.03171421686857"
"139","-157.23","58.45","2022-06-01 07:00:00","-0.133854404550924","-5.93466344325809"
"140","-156.98","58.45","2022-06-01 07:00:00","-0.61444714626985","-5.80242723387808"
"141","-156.73","58.45","2022-06-01 07:00:00","-1.26006695444667","-5.25578148644103"
"142","-156.48","58.45","2022-06-01 07:00:00","-1.73147189375038","-4.4759002200975"
"143","-156.23","58.45","2022-06-01 07:00:00","-1.91628807310259","-3.64916360397366"
"144","-155.98","58.45","2022-06-01 07:00:00","-1.75020087559678","-2.70615630506161"
"145","-157.23","58.95","2022-06-01 08:00:00","0.121637177995241","-7.60792004541303"
"146","-156.98","58.95","2022-06-01 08:00:00","-0.121486208991981","-7.29763350686781"
"147","-156.73","58.95","2022-06-01 08:00:00","-0.436698507237041","-6.6315933866572"
"148","-156.48","58.95","2022-06-01 08:00:00","-0.799970079653994","-5.58723970155365"
"149","-156.23","58.95","2022-06-01 08:00:00","-1.04274008962525","-4.25203577114709"
"150","-155.98","58.95","2022-06-01 08:00:00","-0.923298658227454","-2.92134383738604"
"151","-157.23","58.70","2022-06-01 08:00:00","0.124817571138969","-7.26292584036387"
"152","-156.98","58.70","2022-06-01 08:00:00","-0.384398708873511","-7.03177278144763"
"153","-156.73","58.70","2022-06-01 08:00:00","-0.894321742917931","-6.40182863440112"
"154","-156.48","58.70","2022-06-01 08:00:00","-1.36254628907791","-5.45396226217852"
"155","-156.23","58.70","2022-06-01 08:00:00","-1.60708318412902","-4.12535278840771"
"156","-155.98","58.70","2022-06-01 08:00:00","-1.47916070434795","-2.75509411483217"
"157","-157.23","58.45","2022-06-01 08:00:00","0.731919284575084","-5.66741441117775"
"158","-156.98","58.45","2022-06-01 08:00:00","-0.108411259401098","-5.45673887549884"
"159","-156.73","58.45","2022-06-01 08:00:00","-0.907750069524783","-5.02046350754432"
"160","-156.48","58.45","2022-06-01 08:00:00","-1.39965087575474","-4.33880493740694"
"161","-156.23","58.45","2022-06-01 08:00:00","-1.60425616800126","-3.5676005876894"
"162","-155.98","58.45","2022-06-01 08:00:00","-1.47668706523616","-2.56940809903609"
"163","-157.23","58.95","2022-06-01 09:00:00","0.530141008456328","-7.38336144313254"
"164","-156.98","58.95","2022-06-01 09:00:00","0.26475486946301","-7.09251119782952"
"165","-156.73","58.95","2022-06-01 09:00:00","-0.141275321886289","-6.48720949400081"
"166","-156.48","58.95","2022-06-01 09:00:00","-0.59713167248733","-5.50116468862388"
"167","-156.23","58.95","2022-06-01 09:00:00","-0.882660301390928","-4.1975447347359"
"168","-155.98","58.95","2022-06-01 09:00:00","-0.762158738945226","-2.87761217759107"
"169","-157.23","58.70","2022-06-01 09:00:00","0.741460464006268","-6.9311205485862"
"170","-156.98","58.70","2022-06-01 09:00:00","0.101494688084963","-6.78187758261926"
"171","-156.73","58.70","2022-06-01 09:00:00","-0.533170432596796","-6.24633828846347"
"172","-156.48","58.70","2022-06-01 09:00:00","-1.11376886983518","-5.37760539586986"
"173","-156.23","58.70","2022-06-01 09:00:00","-1.44452975678291","-4.05836699205511"
"174","-155.98","58.70","2022-06-01 09:00:00","-1.39611710559505","-2.69053785513484"
"175","-157.23","58.45","2022-06-01 09:00:00","1.85459806431113","-4.62236657274413"
"176","-156.98","58.45","2022-06-01 09:00:00","0.72096459708002","-4.65082685927736"
"177","-156.73","58.45","2022-06-01 09:00:00","-0.223965543623222","-4.48874205670396"
"178","-156.48","58.45","2022-06-01 09:00:00","-0.77240667240835","-4.0160236389203"
"179","-156.23","58.45","2022-06-01 09:00:00","-1.04627385978494","-3.4072511684412"
"180","-155.98","58.45","2022-06-01 09:00:00","-1.04768736784882","-2.49825738270301"
"181","-157.23","58.95","2022-06-01 10:00:00","0.218109103354996","-7.59126036549114"
"182","-156.98","58.95","2022-06-01 10:00:00","0.0919535086537779","-7.65026339854783"
"183","-156.73","58.95","2022-06-01 10:00:00","-0.160357680748658","-7.26188461036875"
"184","-156.48","58.95","2022-06-01 10:00:00","-0.401714182656031","-6.23419060518709"
"185","-156.23","58.95","2022-06-01 10:00:00","-0.527516400341279","-4.68831113910161"
"186","-155.98","58.95","2022-06-01 10:00:00","-0.376271037506205","-3.06225696339203"
"187","-157.23","58.70","2022-06-01 10:00:00","0.968328508258879","-6.80304925918666"
"188","-156.98","58.70","2022-06-01 10:00:00","0.458405474214459","-7.10396472777582"
"189","-156.73","58.70","2022-06-01 10:00:00","-0.0776674590117254","-6.90751933536352"
"190","-156.48","58.70","2022-06-01 10:00:00","-0.569568265241686","-6.12694391568992"
"191","-156.23","58.70","2022-06-01 10:00:00","-0.837781420362763","-4.61195427279295"
"192","-155.98","58.70","2022-06-01 10:00:00","-0.84237532157037","-2.99075917039392"
"193","-157.23","58.45","2022-06-01 10:00:00","2.36275421327571","-4.22114594795858"
"194","-156.98","58.45","2022-06-01 10:00:00","1.44538747981811","-4.74592586549815"
"195","-156.73","58.45","2022-06-01 10:00:00","0.697288337010043","-5.03747026413125"
"196","-156.48","58.45","2022-06-01 10:00:00","0.231537429961848","-4.74245509884776"
"197","-156.23","58.45","2022-06-01 10:00:00","-0.152583386397323","-3.96916828913998"
"198","-155.98","58.45","2022-06-01 10:00:00","-0.35118126937235","-2.80993222790839"
"199","-157.23","58.95","2022-06-01 11:00:00","0.831571603078567","-6.63645245996775"
"200","-156.98","58.95","2022-06-01 11:00:00","0.8089554740565","-6.84955753230194"
"201","-156.73","58.95","2022-06-01 11:00:00","0.57996716770807","-6.68677857639847"
"202","-156.48","58.95","2022-06-01 11:00:00","0.250619788824218","-5.84025859036737"
"203","-156.23","58.95","2022-06-01 11:00:00","-0.109118013433038","-4.44396916691388"
"204","-155.98","58.95","2022-06-01 11:00:00","-0.182973809770726","-2.93661521064777"
"205","-157.23","58.70","2022-06-01 11:00:00","2.03764735858349","-5.29569530292056"
"206","-156.98","58.70","2022-06-01 11:00:00","1.73621676396125","-5.8149219938195"
"207","-156.73","58.70","2022-06-01 11:00:00","1.2337146472522","-5.92112745332155"
"208","-156.48","58.70","2022-06-01 11:00:00","0.513885665721718","-5.43487304560136"
"209","-156.23","58.70","2022-06-01 11:00:00","-0.156117156557021","-4.17776136482866"
"210","-155.98","58.70","2022-06-01 11:00:00","-0.529990039453068","-2.80542023126288"
"211","-157.23","58.45","2022-06-01 11:00:00","3.22852790240171","-3.00950131030605"
"212","-156.98","58.45","2022-06-01 11:00:00","2.53308193497315","-3.56864181768452"
"213","-156.73","58.45","2022-06-01 11:00:00","1.79452397159627","-3.84213822973556"
"214","-156.48","58.45","2022-06-01 11:00:00","1.07540174409773","-3.72309093362705"
"215","-156.23","58.45","2022-06-01 11:00:00","0.378542268605285","-3.30798724223993"
"216","-155.98","58.45","2022-06-01 11:00:00","-0.0766073279638162","-2.56697856238081"
"217","-157.23","58.95","2022-06-01 12:00:00","1.0909503328004","-4.87885622820824"
"218","-156.98","58.95","2022-06-01 12:00:00","0.98529060502543","-5.11486836043503"
"219","-156.73","58.95","2022-06-01 12:00:00","0.564418579005399","-5.25682271643615"
"220","-156.48","58.95","2022-06-01 12:00:00","0.0244584986035463","-4.93647095460478"
"221","-156.23","58.95","2022-06-01 12:00:00","-0.443412670540467","-4.1402770850044"
"222","-155.98","58.95","2022-06-01 12:00:00","-0.461434898354927","-3.02130191691739"
"223","-157.23","58.70","2022-06-01 12:00:00","2.41788102776699","-2.87240602761548"
"224","-156.98","58.70","2022-06-01 12:00:00","2.16521646134859","-3.36699027529663"
"225","-156.73","58.70","2022-06-01 12:00:00","1.58497140112618","-3.81402501986737"
"226","-156.48","58.70","2022-06-01 12:00:00","0.772204264395641","-3.95042614922785"
"227","-156.23","58.70","2022-06-01 12:00:00","-0.0105258259774637","-3.41002778176151"
"228","-155.98","58.70","2022-06-01 12:00:00","-0.422916803614219","-2.59231515892869"
"229","-157.23","58.45","2022-06-01 12:00:00","3.06279408191188","-1.17103621559236"
"230","-156.98","58.45","2022-06-01 12:00:00","2.51081918296705","-1.58509867698436"
"231","-156.73","58.45","2022-06-01 12:00:00","1.96237805418192","-2.00783805500234"
"232","-156.48","58.45","2022-06-01 12:00:00","1.3810728629116","-2.39552268985135"
"233","-156.23","58.45","2022-06-01 12:00:00","0.77291101842758","-2.5756554790068"
"234","-155.98","58.45","2022-06-01 12:00:00","0.35168561539158","-2.36393871333277"
"235","-157.23","58.95","2022-06-01 13:00:00","0.0216314824757879","-3.19622855609724"
"236","-156.98","58.95","2022-06-01 13:00:00","-0.132440896487044","-3.64395745399806"
"237","-156.73","58.95","2022-06-01 13:00:00","-0.440232277396739","-4.20344503804157"
"238","-156.48","58.95","2022-06-01 13:00:00","-0.71940012001288","-4.35477046399875"
"239","-156.23","58.95","2022-06-01 13:00:00","-0.867465089704226","-3.96951536580502"
"240","-155.98","58.95","2022-06-01 13:00:00","-0.620454555541337","-3.00672469698573"
"241","-157.23","58.70","2022-06-01 13:00:00","1.37153168348042","-0.493195488770412"
"242","-156.98","58.70","2022-06-01 13:00:00","1.20933163315028","-1.00305110971329"
"243","-156.73","58.70","2022-06-01 13:00:00","0.851714092988846","-1.83603510580784"
"244","-156.48","58.70","2022-06-01 13:00:00","0.361580171838735","-2.56697856238081"
"245","-156.23","58.70","2022-06-01 13:00:00","-0.125726733183618","-2.64576496534476"
"246","-155.98","58.70","2022-06-01 13:00:00","-0.392526380240816","-2.27369878042252"
"247","-157.23","58.45","2022-06-01 13:00:00","2.19065960649841","0.562264649614396"
"248","-156.98","58.45","2022-06-01 13:00:00","1.89064251994005","0.246771961093584"
"249","-156.73","58.45","2022-06-01 13:00:00","1.67755617931027","-0.316533466265359"
"250","-156.48","58.45","2022-06-01 13:00:00","1.43054564514738","-1.1220984058218"
"251","-156.23","58.45","2022-06-01 13:00:00","0.994831784456614","-1.78466775938201"
"252","-155.98","58.45","2022-06-01 13:00:00","0.613184607209231","-2.02831557823967"
"253","-157.23","58.95","2022-06-01 14:00:00","-1.48658162168331","-3.30833431890497"
