"","id","date","u","v","u.se","v.se","x.se","y.se","s","s.se","geometry","dist_to_next_m","dis_to_next_km","timetilnext","lon","lat"
"1","181624",2022-07-03,-7.61305753349806e-15,1.28871883414878e-14,9.99999999999446e-06,9.99999999999446e-06,9.9999527895765e-06,9.99995278957974e-06,NA,NA,c(-151.0293121, 61.2111473),NA,NA,24,-151.0293121,61.2111473
"2","181624",2022-07-04,-0.0166512175653595,0.0281867567800371,6.12600476896439,6.12600419915432,147.022412789311,147.022399114028,0.0327373104550398,NA,c(-151.032901988828, 61.2140782568651),378.375268913496,0.378375268913496,24,-151.032901988828,61.2140782568651
"3","181624",2022-07-05,0.0356180623367555,-0.0427120487526353,6.12586296578133,6.12586239598446,0.0036723515373584,0.00367235156277584,0.0556144358256359,NA,c(-151.02522288888, 61.2096367514113),642.650781370042,0.642650781370042,24,-151.02522288888,61.2096367514113
"4","181624",2022-07-06,0.156809435100564,-0.212698710263852,6.21938040235235,6.21937898391562,149.263402051216,149.263368009128,0.264251137115711,NA,c(-150.991415756346, 61.1875096570608),3055.11292786222,3.05511292786222,24,-150.991415756346,61.1875096570608
"5","181624",2022-07-07,-0.0154697219973234,-0.115975297681699,6.2192364375743,6.2192350191704,0.00368444177567765,0.00368444168939893,0.117002487047101,NA,c(-150.994750961391, 61.1754380397424),1354.15647158547,1.35415647158547,24,-150.994750961391,61.1754380397424
"6","181624",2022-07-08,-0.481226202304756,0.247464362887133,6.35181386786711,6.35180779693814,152.441768437929,152.44162273732,0.541119209341676,NA,c(-151.098500083846, 61.2011900228364),6253.84218124366,6.25384218124366,24,-151.098500083846,61.2011900228364
"7","181624",2022-07-09,0.340869711673557,-0.33743645843655,6.35166683753892,6.35166076675049,0.00370183386670784,0.0037018331609464,0.479641036294968,NA,c(-151.025010050614, 61.1660694067281),5546.62973111044,5.54662973111044,24,-151.025010050614,61.1660694067281
"8","181624",2022-07-10,2.45084783154747,-1.87069971414149,9.78763121196395,9.78762883934049,234.900430314428,234.900373372124,3.08317797374099,NA,c(-150.496623139737, 60.9706543840936),35777.4043839864,35.7774043839864,24,-150.496623139737,60.9706543840936
"9","181624",2022-07-11,2.31257941029134,-1.74075703606124,8.1995318640973,8.19953638674316,309.685551701883,309.685713172949,2.89452216933723,NA,c(-149.998041036497, 60.7877228364355),33788.5902089181,33.7885902089181,24,-149.998041036497,60.7877228364355
"10","181624",2022-07-12,-0.0739615739405332,0.0524108262227109,8.19927726096033,8.19927895784617,234.917192864672,234.917296579017,0.0906488228544324,NA,c(-150.013986831413, 60.7932459180141),1061.07202372566,1.06107202372566,24,-150.013986831413,60.7932459180141
"11","181624",2022-07-13,-4.70877512114815,3.50880387271037,9.78810308112521,9.78810740250625,0.00424065200062387,0.00424065285566188,5.87233069198953,NA,c(-151.029178349969, 61.1608386700523),68337.2182551992,68.3372182551992,24,-151.029178349969,61.1608386700523
"12","181624",2022-07-14,-11.5918872527035,8.62844135347042,6.35872269156158,6.35871871548159,152.60757828432,152.607482859504,14.4505702614974,NA,c(-153.528321852855, 62.0467849170239),164814.963092529,164.814963092529,24,-153.528321852855,62.0467849170239
"13","181624",2022-07-15,9.62749319697241,-10.0305884321536,6.35857550112199,6.35857152513404,0.00370274820556994,0.00370274777593264,13.9032848446758,NA,c(-151.452676024553, 61.0144507486018),158986.494917693,158.986494917693,24,-151.452676024553,61.0144507486018
