"","id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se"
"91","233811",2022-07-05 00:00:01,-151.0166931,61.2118416,-16811.1013771761,8637.14339830678,5.58586952615801e-06,5.5857826431197e-06,-0.127014184762483,-0.160886283170876,2.77514828656034,2.77514806893908,0.227927416743349,NA
"92","233811",2022-07-07 00:00:01,-150.1302643,60.7982483,-16712.4245745356,8542.3097663623,5.58586952615801e-06,5.5857826431197e-06,3.60926282404674,-3.06792519061392,2.73873453608667,2.73873431879164,2.8512400694524,NA
"93","233811",2022-07-09 00:00:01,-146.3188171,59.4272652,-16288.1362130461,8236.49099412736,5.58586952615801e-06,5.5857826431197e-06,8.48487632587961,-6.02831715644427,2.73765527669145,2.73765505972937,10.8961666445731,NA
"94","233811",2022-07-11 00:00:01,-146.318604,59.4272652,-16288.1124908626,8236.49099412736,5.58586952615801e-06,5.5857826431197e-06,-1.48169178564081,1.01062909119632,2.7376234998218,2.73762358832438,0.000494212155975523,NA
"95","233811",2022-07-13 00:00:01,-146.39476,59.4036369,-16296.5901380035,8231.33049626649,5.58586952615801e-06,5.5857826431197e-06,0.055000276192752,-0.25048063265855,2.73762428268526,2.73762388386872,0.206766230235083,NA
"96","233811",2022-07-15 00:00:01,-146.386597,59.4110603,-16295.6814370002,8232.95140182961,5.58586952615801e-06,5.5857826431197e-06,0.129851302626593,-0.0852665241804911,2.73767396680888,2.73767384114655,0.0387134256048601,NA
"97","233811",2022-07-17 00:00:01,-146.377335,59.4103432,-16294.6503958764,8232.7948068939,5.58586952615801e-06,5.5857826431197e-06,-0.677560361679782,0.95816732790948,2.73937481152864,2.73937465655464,0.0217263578073571,NA
"98","233811",2022-07-19 00:00:01,-146.377106,59.4083443,-16294.624903713,8232.35831962053,5.55557033779757e-06,5.58578283311966e-06,4.06545270254481,-5.70149892337339,2.79653322276763,2.79653321996183,0.00910898018757002,NA
"99","233811",2022-07-23 00:00:01,-121.740608,36.8151436,-13552.1024914235,4387.76493585227,5.57831015783451e-06,5.58578269061993e-06,23.5795135190517,-33.1447715381877,4.30939594860634,4.30939622719661,49.1930625962461,NA
"100","233811",2022-07-25 00:00:01,-121.789963,36.7923317,-13557.5966648916,4384.60706332958,5.5783101578345e-06,5.58578269061979e-06,-4.07469934880751,5.48561298907457,2.79953096986112,2.79953108179356,0.132021707770264,NA
