"","Long","Lat","Jdate","mean(speed)","mean(tw)","max(speed)","date"
"1",-150.98,61.26,151,1.30954704919921,0.537071013572722,2.52812860384222,2021-06-01
"2",-150.98,61.26,152,2.35040620111363,-0.00269898447518307,3.75965080715622,2021-06-02
"3",-150.98,61.26,153,1.08458310277631,0.133567608122495,1.91516964892741,2021-06-03
"4",-150.98,61.26,154,2.22781091761249,-0.203575942890298,2.70739563538486,2021-06-04
"5",-150.98,61.26,155,1.70974200750349,-0.22687039376096,2.34784183890584,2021-06-05
"6",-150.98,61.26,156,1.11397677901017,-0.277666051373467,2.77744336402726,2021-06-06
"7",-150.98,61.26,157,1.32658994057734,0.204591707687963,2.7840750607711,2021-06-07
"8",-150.98,61.26,158,3.01255267232518,-0.294624782510838,4.97552790207431,2021-06-08
"9",-150.98,61.26,159,2.6924652864348,0.00227460763941099,3.59442493802658,2021-06-09
"10",-150.98,61.26,160,1.05423402006416,0.139727554208486,1.73028349548529,2021-06-10
"11",-150.98,61.26,161,1.07161653391326,-0.170348480448155,2.02576670330206,2021-06-11
"12",-150.98,61.26,162,2.25197270715665,0.153191699970169,2.78326539540029,2021-06-12
"13",-150.98,61.26,163,1.28413787546634,0.269678984110759,3.16817307429465,2021-06-13
"14",-150.98,61.26,164,2.74069856784569,0.0427074483616158,3.80369670593927,2021-06-14
"15",-150.98,61.26,165,1.80859780443554,-0.29158889698299,3.00958020364312,2021-06-15
"16",-150.98,61.26,166,2.25523501940003,-0.390831859604593,3.14560003492098,2021-06-16
"17",-150.98,61.26,167,2.60148726448411,-0.125769427993485,4.08913157140191,2021-06-17
"18",-150.98,61.26,168,1.49760376959016,0.120671574822696,2.39297341340762,2021-06-18
"19",-150.98,61.26,169,1.93502526990886,0.119689335302419,3.10898630290924,2021-06-19
"20",-150.98,61.26,170,1.68856598369657,-0.237795469929983,2.61452789456928,2021-06-20
"21",-150.98,61.26,171,1.20459928813147,0.095036033354169,1.94059230037244,2021-06-21
"22",-150.98,61.26,172,2.41531921420974,-0.733558470293513,3.73156572007295,2021-06-22
"23",-150.98,61.26,173,1.46060467904157,-0.248843354424667,2.58842318446442,2021-06-23
"24",-150.98,61.26,174,1.41457313708565,-0.0284838232673954,3.01321369349462,2021-06-24
"25",-150.98,61.26,175,2.42785253824191,0.214179041195496,4.7295075126132,2021-06-25
"26",-150.98,61.26,176,1.56782362508375,0.0451749674673939,3.29404481502155,2021-06-26
"27",-150.98,61.26,177,2.40635956563893,0.377436337341178,3.96190444971746,2021-06-27
"28",-150.98,61.26,178,2.18637197688778,-0.269467502924939,3.12442855507838,2021-06-28
"29",-150.98,61.26,179,2.4756168877086,-0.554326703718204,3.37634919531772,2021-06-29
"30",-150.98,61.26,180,2.09925033894873,0.453541577237284,3.19633750133241,2021-06-30
"31",-150.98,61.26,181,1.99398228732276,0.0681218947466028,3.24716115929704,2021-07-01
"32",-150.98,61.26,182,1.94218181494413,-0.214881853458333,3.26644307753319,2021-07-02
"33",-150.98,61.26,183,2.3748489891338,0.0705191996063298,4.46714041033653,2021-07-03
"34",-150.98,61.26,184,3.04809365920644,0.153796971206954,3.86913817706657,2021-07-04
"35",-150.98,61.26,185,1.79633888135039,0.147691528754965,2.7442078012676,2021-07-05
"36",-150.98,61.26,186,2.39006070402651,-0.54110016019103,3.08949908539798,2021-07-06
"37",-150.98,61.26,187,4.22769531339533,-0.450434607685341,5.07145163395248,2021-07-07
"38",-150.98,61.26,188,3.25016739075019,-1.12855466670119,3.54912420878459,2021-07-08
"39",-150.98,61.26,189,2.77191633590946,0.201942883627918,4.08633304744486,2021-07-09
"40",-150.98,61.26,190,2.34317080823096,0.331262225821844,3.55607454024742,2021-07-10
"41",-150.98,61.26,191,1.75439054528171,-0.343640008859773,3.6010630499188,2021-07-11
"42",-150.98,61.26,192,1.23352239857122,0.108089764514436,1.98349188027277,2021-07-12
"43",-150.98,61.26,193,1.89395387476568,-0.039476160256055,3.78975190966367,2021-07-13
"44",-150.98,61.26,194,1.39821729521913,0.108293677314734,2.02698194023053,2021-07-14
"45",-150.98,61.26,195,2.55608825462198,-0.205329427654665,3.16440213112248,2021-07-15
"46",-150.98,61.26,196,1.51230405242797,-0.186282575371264,2.46810705523447,2021-07-16
"47",-150.98,61.26,197,1.79003962322851,-0.219499718827268,2.66538162986731,2021-07-17
"48",-150.98,61.26,198,1.67973755185756,0.0625441164307777,2.52356374680275,2021-07-18
"49",-150.98,61.26,199,1.70533712982113,0.131969037862765,2.88240955510829,2021-07-19
"50",-150.98,61.26,200,2.92743416463287,-0.418988811632217,3.70143127110043,2021-07-20
"51",-150.98,61.26,201,2.32465487169101,0.133794469157699,3.48923901368574,2021-07-21
"52",-150.98,61.26,202,0.996880957076683,0.0421337844559932,2.08035181006291,2021-07-22
"53",-150.98,61.26,203,1.00094291581119,0.0853941738107553,1.47903555583546,2021-07-23
"54",-150.98,61.26,204,1.88806519547106,-0.633499625258881,3.48478319559419,2021-07-24
"55",-150.98,61.26,205,2.68903478204914,0.0415137205746001,3.9210597788173,2021-07-25
"56",-150.98,61.26,206,2.8656581827256,-0.667455156744936,3.32542687178059,2021-07-26
"57",-150.98,61.26,207,2.34122274938673,-0.350108871928242,2.82494575584909,2021-07-27
"58",-150.98,61.26,208,3.00930435890528,0.0432602795565785,4.35380210295689,2021-07-28
"59",-150.98,61.26,209,4.00995282863202,-0.355083260530483,4.55599621012475,2021-07-29
"60",-150.98,61.26,210,3.26470826695919,-0.0951205270337725,4.06088455617268,2021-07-30
"61",-150.98,61.26,211,2.23486073021114,0.532850669245547,3.2491639038964,2021-07-31
