"","Long","Lat","Jdate","mean(ws)","mean(tw)","max(ws)"
"1",-150.98,61.26,151,1.30954704919921,-0.135652867222815,2.52812860384222
"2",-150.98,61.26,152,2.35040620111363,-0.161429132347357,3.75965080715622
"3",-150.98,61.26,153,1.08458310277631,0.191688852734967,1.91516964892741
"4",-150.98,61.26,154,2.22781091761249,0.0364048255690686,2.70739563538486
"5",-150.98,61.26,155,1.70974200750349,0.559955575419702,2.34784183890584
"6",-150.98,61.26,156,1.11397677901017,0.351771966768284,2.77744336402726
"7",-150.98,61.26,157,1.32658994057734,0.0472216969426191,2.7840750607711
"8",-150.98,61.26,158,3.01255267232518,-0.444632853199375,4.97552790207431
"9",-150.98,61.26,159,2.6924652864348,-0.326200770890451,3.59442493802658
"10",-150.98,61.26,160,1.05423402006416,-0.0811701449929304,1.73028349548529
"11",-150.98,61.26,161,1.07161653391326,0.04791912400861,2.02576670330206
"12",-150.98,61.26,162,2.25197270715665,-0.0692036823659148,2.78326539540029
"13",-150.98,61.26,163,1.28413787546634,-0.295627826712923,3.16817307429465
"14",-150.98,61.26,164,2.74069856784569,0.352464403727713,3.80369670593927
"15",-150.98,61.26,165,1.80859780443554,0.17513957433042,3.00958020364312
"16",-150.98,61.26,166,2.25523501940003,0.048529420930696,3.14560003492098
"17",-150.98,61.26,167,2.60148726448411,0.525688400717556,4.08913157140191
"18",-150.98,61.26,168,1.49760376959016,-0.346410828219098,2.39297341340762
"19",-150.98,61.26,169,1.93502526990886,-0.461264876123112,3.10898630290924
"20",-150.98,61.26,170,1.68856598369657,0.374745550865084,2.61452789456928
"21",-150.98,61.26,171,1.20459928813147,0.0139566439477004,1.94059230037244
"22",-150.98,61.26,172,2.41531921420974,0.528836816151044,3.73156572007295
"23",-150.98,61.26,173,1.46060467904157,-0.00588488548085711,2.58842318446442
"24",-150.98,61.26,174,1.41457313708565,-0.0995406441772428,3.01321369349462
"25",-150.98,61.26,175,2.42785253824191,-1.0033081032572,4.7295075126132
"26",-150.98,61.26,176,1.56782362508375,0.00300735588079121,3.29404481502155
"27",-150.98,61.26,177,2.40635956563893,-0.344388142139369,3.96190444971746
"28",-150.98,61.26,178,2.18637197688778,0.511244549116499,3.12442855507838
"29",-150.98,61.26,179,2.4756168877086,0.176292981948792,3.37634919531772
"30",-150.98,61.26,180,2.09925033894873,-0.164565160583126,3.19633750133241
"31",-150.98,61.26,181,1.99398228732276,-0.0706454351395508,3.24716115929704
"32",-150.98,61.26,182,1.94218181494413,0.424044447254347,3.26644307753319
"33",-150.98,61.26,183,2.3748489891338,0.744030892152867,4.46714041033653
"34",-150.98,61.26,184,3.04809365920644,0.207096833174086,3.86913817706657
