id,date,lon,lat,gps:fix-type-raw,height-above-ellipsoid,lc,lotek:crc-status-text,sensor-type
181626,2022-07-31,-124.0607605,46.9631615,,,G,,gps
181626,2022-08-02,-123.9701385,46.9679985,,,G,,gps
181626,2022-08-04,-123.9700317,46.9680519,,,G,,gps
181626,2022-08-06,-124.1243744,47.0322304,,,G,,gps
181626,2022-08-08,-124.0075378,46.9951363,,,G,,gps
181626,2022-08-10,-123.9607391,46.9670792,,,G,,gps
181626,2022-08-12,-123.9630966,46.9674873,,,G,,gps
181626,2022-08-14,-123.9621735,46.969101,,,G,,gps
181626,2022-08-16,-124.0647049,46.9100914,,,G,,gps
181626,2022-08-18,-122.4413071,38.1233521,,,G,,gps
181626,2022-08-20,-122.1248932,37.5963783,,,G,,gps
181626,2022-08-24,-122.1073303,37.616703,,,G,,gps
181626,2022-08-26,-122.1282654,37.6053123,,,G,,gps
181626,2022-08-28,-122.1326752,37.6030083,,,G,,gps
181626,2022-08-30,-122.1392517,37.6052361,,,G,,gps
181626,2022-09-01,-122.1407394,37.6041603,,,G,,gps
181626,2022-09-03,-122.231926,37.5120239,,,G,,gps
181626,2022-09-05,-122.2347107,37.511898,,,G,,gps
181626,2022-09-07,-122.2345581,37.5096703,,,G,,gps
181626,2022-09-11,-122.2326126,37.5092354,,,G,,gps
233811,2022-06-10,-151.0164795,61.2110214,,28,G,,gps
233811,2022-06-15,-151.0178986,61.2120438,,31,G,,gps
233811,2022-06-20,-151.01651,61.2118416,,36,G,,gps
233811,2022-06-25,-150.9169006,61.2119675,,15,G,,gps
233811,2022-06-30,-150.9184418,61.2128639,,2,G,,gps
233811,2022-07-01,-150.918457,61.2130432,,18,G,,gps
233811,2022-07-03,-150.9184418,61.2129936,,3,G,,gps
233811,2022-07-05,-151.0166931,61.2118416,,33,G,,gps
233811,2022-07-07,-150.1302643,60.7982483,,77,G,,gps
233811,2022-07-09,-146.3188171,59.4272652,,20,G,,gps
233811,2022-07-11,-146.318604,59.4272652,3D,16,G,OK,gps
233811,2022-07-13,-146.39476,59.4036369,3D,19,G,OK,gps
233811,2022-07-15,-146.386597,59.4110603,3D,19,G,OK(corrected),gps
233811,2022-07-17,-146.377335,59.4103432,3D,30,G,OK(corrected),gps
233811,2022-07-19,-146.377106,59.4083443,3D,21,G,OK,gps
233811,2022-07-21,-120.645546,34.9635468,3D,-31,G,OK,gps
233811,2022-07-23,-121.740608,36.8151436,3D,-27,G,OK,gps
233811,2022-07-25,-121.789963,36.7923317,3D,-24,G,OK,gps
233811,2022-07-27,-121.790398,36.7930222,3D,-33,G,OK,gps
233811,2022-07-29,-121.791626,36.7894402,3D,-27,G,OK,gps
233811,2022-07-31,-121.789452,36.7938423,3D,-25,G,OK,gps
233811,2022-08-02,-121.789757,36.7933311,3D,-28,G,OK,gps
233811,2022-08-04,-114.041718,27.6789627,3D,-26,G,OK,gps
233811,2022-08-06,-109.37455,25.8487415,3D,-5,G,OK,gps
233811,2022-08-08,-109.37233,25.8493824,3D,-17,G,OK,gps
233811,2022-08-10,-109.374832,25.8486137,3D,-25,G,OK,gps
233811,2022-08-12,-109.373505,25.8501759,2D,0,G,OK,gps
233811,2022-08-14,-109.375221,25.8483334,3D,-24,G,OK,gps
233811,2022-08-16,-109.374863,25.8307972,3D,-11,G,OK,gps
233811,2022-08-18,-109.360115,25.8091145,3D,-14,G,OK,gps
233811,2022-08-20,-109.360603,25.8117752,3D,-21,G,OK,gps
233811,2022-08-22,-109.359856,25.8091908,2D,0,G,OK,gps
233811,2022-08-24,-109.360268,25.8116474,3D,-22,G,OK,gps
233811,2022-08-26,-109.359604,25.8118782,3D,-1,G,OK,gps
233811,2022-08-28,-109.367439,25.7987194,2D,0,G,OK,gps
233811,2022-08-30,-109.357658,25.8090115,2D,0,G,OK,gps
233811,2022-09-01,-109.353539,25.8208637,3D,-6,G,OK,gps
233811,2022-09-03,-109.351997,25.8212223,3D,-19,G,OK,gps
233811,2022-09-07,-109.359528,25.8262653,3D,-22,G,OK,gps
233811,2022-09-09,-109.360603,25.8103161,3D,-22,G,OK,gps
233811,2022-09-11,-109.359116,25.8119545,3D,-15,G,OK,gps
233811,2022-09-13,-109.361931,25.8117752,3D,-18,G,OK,gps
233811,2022-09-19,-109.379318,25.8609276,3D,-17,G,OK,gps
233811,2022-09-21,-109.366745,25.804327,3D,-19,G,OK,gps
233811,2022-09-23,-109.365669,25.7950592,3D,16,G,OK,gps
233811,2022-09-27,-109.383385,25.8642559,3D,-17,G,OK,gps
233811,2022-09-29,-109.396439,25.8718586,3D,-19,G,OK,gps
233811,2022-10-01,-109.383286,25.8613625,3D,-17,G,OK,gps
233811,2022-10-03,-109.387253,25.8658943,3D,-16,G,OK(corrected),gps
233811,2022-10-05,-109.38446,25.8633595,3D,8,G,OK(corrected),gps
233811,2022-10-07,-109.388329,25.8492279,3D,-13,G,OK,gps
233811,2022-10-09,-109.392784,25.8243713,3D,-16,G,OK,gps
233811,2022-10-11,-109.367996,25.8037376,3D,-20,G,OK,gps
233811,2022-10-13,-109.367081,25.8046856,3D,-22,G,OK,gps
233811,2022-10-15,-109.367386,25.8037376,3D,-27,G,OK,gps
233811,2022-10-17,-109.368439,25.8043003,3D,-17,G,OK,gps
233811,2022-10-19,-109.369125,25.810112,3D,-16,G,OK,gps
233811,2022-10-21,-109.396515,25.8509178,3D,-17,G,OK,gps
233811,2022-11-12,-109.397034,26.0121727,3D,-26,G,OK,gps
233811,2022-11-17,-109.400589,26.006567,3D,-28,G,OK,gps
233811,2022-11-22,-109.388428,26.0141449,3D,-24,G,OK,gps
233811,2022-11-27,-109.385124,26.0046711,3D,-10,G,OK,gps
233811,2022-12-02,-109.399696,26.0059013,3D,-29,G,OK,gps
233811,2022-12-07,-109.393036,25.996582,3D,-25,G,OK,gps
233811,2022-12-12,-109.409142,25.9908218,3D,-24,G,OK,gps
233811,2022-12-17,-109.441986,26.7134075,3D,-28,G,OK,gps
233811,2022-12-22,-109.443237,26.6902142,3D,-25,G,OK,gps
233811,2022-12-27,-109.464767,26.6914692,3D,-21,G,OK,gps
233812,2022-06-10,-151.0220642,61.2099953,,34,G,,gps
233812,2022-06-15,-151.0181732,61.2113533,,45,G,,gps
233812,2022-06-20,-150.9458618,61.2221832,,10,G,,gps
233812,2022-06-25,-150.4843445,61.2573586,,46,G,,gps
233812,2022-06-30,-150.4850311,61.2575607,,16,G,,gps
233812,2022-07-01,-150.4837189,61.2575378,,20,G,,gps
233812,2022-07-03,-150.4834137,61.2571526,,12,G,,gps
233812,2022-07-05,-150.4874115,61.257946,,19,G,,gps
233812,2022-07-09,-150.4871826,61.257946,,12,G,,gps
233812,2022-07-11,-150.484955,61.2599411,3D,19,G,OK,gps
233812,2022-07-13,-150.483063,61.2587395,3D,14,G,OK,gps
233812,2022-07-15,-147.606003,60.9575539,3D,25,G,OK,gps
233812,2022-07-17,-145.360123,60.2842484,3D,19,G,OK,gps
233812,2022-07-19,-145.269257,60.342411,3D,23,G,OK,gps
233812,2022-07-21,-145.329773,60.2831993,3D,-1,G,OK,gps
233812,2022-07-23,-145.330368,60.2818451,2D,0,G,OK,gps
233812,2022-07-25,-144.22731,60.1052284,3D,17,G,OK,gps
233812,2022-07-27,-144.178497,60.1341057,3D,24,G,OK,gps
233812,2022-07-29,-145.665543,60.3630981,3D,23,G,OK,gps
233812,2022-07-31,-145.269089,60.342617,3D,23,G,OK,gps
233812,2022-08-02,-145.431,60.3812981,3D,19,G,OK,gps
233812,2022-08-04,-145.430878,60.3826065,3D,45,G,OK,gps
233812,2022-08-06,-145.431381,60.3829117,3D,30,G,OK,gps
233812,2022-08-12,-145.421021,60.3760757,3D,23,G,OK,gps
233812,2022-08-14,-145.419205,60.3753853,2D,0,G,OK,gps
233812,2022-08-16,-145.421036,60.3761024,3D,32,G,OK,gps
233812,2022-08-18,-145.421478,60.3762817,2D,0,G,OK,gps
233812,2022-08-22,-145.420837,60.3759995,3D,26,G,OK,gps
233812,2022-08-24,-145.421097,60.3761292,3D,20,G,OK,gps
233812,2022-08-28,-145.421066,60.3761024,3D,23,G,OK,gps
233812,2022-08-30,-145.421097,60.3760757,3D,24,G,OK,gps
233813,2022-06-10,-151.0160828,61.216526,,39,G,,gps
233813,2022-06-15,-151.0161743,61.2163963,,33,G,,gps
233813,2022-06-20,-151.0158691,61.2167282,,36,G,,gps
233813,2022-06-25,-150.9497681,61.195713,,8,G,,gps
233813,2022-06-30,-151.0314941,61.2091789,,37,G,,gps
233813,2022-07-01,-151.0453949,61.2058258,,31,G,,gps
233813,2022-07-03,-151.0218353,61.2128639,,35,G,,gps
233813,2022-07-05,-151.0703735,61.1756172,,49,G,,gps
233813,2022-07-07,-151.0318909,61.2125816,,34,G,,gps
233813,2022-07-09,-151.0333557,61.2115593,,37,G,,gps
233813,2022-07-11,-150.9958038,61.1841393,,21,G,,gps
233813,2022-07-13,-151.0410919,61.1537552,,10,G,,gps
233813,2022-07-15,-151.026108,61.2114296,3D,39,G,OK,gps
233813,2022-07-17,-150.994598,61.178894,3D,14,G,OK,gps
233813,2022-07-19,-151.025497,61.2110977,3D,38,G,OK,gps
233813,2022-07-21,-150.994629,61.1774597,3D,13,G,OK,gps
233813,2022-07-23,-150.950363,61.1980171,3D,11,G,OK,gps
233813,2022-07-25,-150.990326,61.1812744,3D,12,G,OK,gps
233813,2022-07-27,-151.025848,61.2122765,3D,40,G,OK,gps
233813,2022-07-29,-150.991013,61.178688,3D,11,G,OK,gps
233813,2022-07-31,-150.990555,61.1792259,3D,16,G,OK,gps
233813,2022-08-04,-145.440063,60.3856773,3D,19,G,OK,gps
233813,2022-08-06,-145.456085,60.3929214,3D,111,G,OK,gps
233813,2022-08-08,-145.488525,60.4000626,3D,35,G,OK,gps
233813,2022-08-10,-145.458984,60.3684464,3D,20,G,OK,gps
233813,2022-08-12,-145.457428,60.3726196,3D,24,G,OK,gps
233813,2022-08-14,-145.45932,60.3891068,3D,29,G,OK,gps
233813,2022-08-16,-145.457428,60.3726196,3D,24,G,OK,gps
233813,2022-08-18,-145.457397,60.3726196,3D,21,G,OK,gps
233813,2022-08-20,-145.457504,60.372673,3D,19,G,OK,gps
233813,2022-08-22,-145.489365,60.4001656,3D,31,G,OK,gps
233813,2022-08-24,-144.884567,60.3204994,3D,246,G,OK,gps
233813,2022-08-28,-119.194511,43.2516975,3D,1236,G,OK,gps
233813,2022-09-07,-118.811378,43.2952461,3D,1230,G,OK,gps
233813,2022-09-09,-118.792923,43.2988014,3D,1235,G,OK,gps
233813,2022-09-11,-119.237389,43.2450676,3D,1240,G,OK,gps
233813,2022-09-13,-119.261963,43.2606087,3D,1241,G,OK,gps
233813,2022-09-15,-119.085175,43.2470131,3D,1237,G,OK,gps
233813,2022-09-17,-114.389465,36.1287041,3D,299,G,OK,gps
233813,2022-09-19,-114.474022,36.1036148,3D,300,G,OK,gps
233813,2022-09-21,-114.473869,36.1038971,3D,301,G,OK,gps
233813,2022-09-23,-114.473846,36.1039238,3D,301,G,OK,gps
233813,2022-09-25,-112.313766,29.3374329,3D,-18,G,OK,gps
233813,2022-09-27,-112.300606,29.3343353,3D,-22,G,OK,gps
233813,2022-09-29,-112.30806,29.3296509,3D,-20,G,OK,gps
233813,2022-10-01,-111.832741,28.7736969,3D,-21,G,OK,gps
233813,2022-10-03,-111.44529,28.3768711,3D,-19,G,OK,gps
233813,2022-10-05,-111.391808,28.3683453,3D,-14,G,OK,gps
233813,2022-10-07,-111.855476,28.7721081,3D,-20,G,OK,gps
233813,2022-10-09,-111.856499,28.7716217,3D,-18,G,OK,gps
233813,2022-10-11,-111.892494,28.7794552,3D,-21,G,OK,gps
233813,2022-10-13,-111.91256,28.8049793,3D,-25,G,OK,gps
233813,2022-10-15,-111.406448,28.3638916,3D,-23,G,OK,gps
233813,2022-10-19,-111.402176,28.3614845,3D,-22,G,OK,gps
233813,2022-10-23,-111.392548,28.367424,3D,-33,G,OK,gps
233813,2022-10-25,-111.403709,28.3667831,3D,-23,G,OK,gps
233813,2022-10-27,-111.401382,28.3656311,3D,-20,G,OK,gps
233813,2022-10-29,-111.436554,28.3667583,3D,-17,G,OK,gps
233813,2022-10-31,-111.448128,28.3620224,3D,-20,G,OK,gps
233813,2022-11-02,-111.400848,28.3521156,3D,-17,G,OK,gps
233813,2022-11-07,-111.400871,28.3520641,3D,-24,G,OK,gps
233813,2022-11-12,-111.400848,28.3520641,3D,-27,G,OK,gps
233813,2022-11-17,-111.400871,28.3520889,3D,-29,G,OK,gps
233813,2022-11-22,-111.400848,28.3521156,3D,-19,G,OK,gps
233813,2022-11-27,-111.400871,28.3521156,3D,-26,G,OK,gps
233813,2022-12-07,-111.400871,28.3521156,3D,-31,G,OK,gps
