,id,date,u,v,u.se,v.se,x.se,y.se,s,s.se,geometry,dist_to_next_m,dis_to_next_km,timetilnext,lon,lat,
27,181624,7/29/22,0.98582747,-2.969797099,14.37009976,14.37011939,579.2259041,579.2263393,3.129145348,NA,c(-123.761359341179, 46.2253797964866),51836.5001,51.8365001,24,-123.7613593,46.2253798
28,181624,7/30/22,1.497956358,-4.247342088,13.99002861,13.99009467,792.7702745,792.7723983,4.503752664,NA,c(-123.438406439217, 45.5861236506938),75346.22456,75.34622456,24,-123.4384064,45.58612365
29,181624,7/31/22,1.890480098,-5.363504299,13.05123587,13.05130783,929.6526833,929.6576268,5.686923014,NA,c(-123.030827119251, 44.768286015957),96387.56951,96.38756951,24,-123.0308271,44.76828602
30,181624,8/1/22,2.16339869,-6.318283734,12.33475003,12.33478067,976.8341816,976.8418153,6.678398254,NA,c(-122.564407733162, 43.7896899945855),114975.4271,114.9754271,24,-122.5644077,43.78968999
31,181624,8/2/22,2.316712133,-7.111680392,12.33212287,12.33212525,930.1336817,930.1433987,7.479515566,NA,c(-122.06493463283, 42.6685872530676),131063.9766,131.0639766,24,-122.0649346,42.66858725
32,181624,8/3/22,2.350420428,-7.743694273,13.04566244,13.04565302,793.6340537,793.6442758,8.092544543,NA,c(-121.558194170134, 41.4242642616255),144550.5037,144.5505037,24,-121.5581942,41.42426426
33,181624,8/4/22,2.264523575,-8.214325377,13.98714769,13.98721213,580.2553821,580.2633464,8.520751635,NA,c(-121.069972696954, 40.0775438857383),155292.5248,155.2925248,24,-121.0699727,40.07754389
34,181624,8/5/22,2.059021573,-8.523573705,14.37793227,14.378096,313.7131832,313.7163037,8.768744411,NA,c(-120.62605656517, 38.6511717953761),163131.5054,163.1315054,24,-120.6260566,38.6511718
35,181624,8/6/22,1.733914423,-8.671439256,13.07123135,13.07136137,0.004875855,0.004875882,8.843094368,NA,c(-120.252232126662, 37.1700765159463),167923.6334,167.9236334,24,-120.2522321,37.17007652
36,181624,8/7/22,1.28920074,-8.657920162,6.676206854,6.676212462,160.22711,160.2272446,8.753378551,NA,c(-119.97428492209, 35.6614945506293),169580.415,169.580415,24,-119.9742849,35.66149455
37,181624,8/8/22,2.01287068,-7.107805713,6.676052315,6.676057922,0.003745619,0.00374562,7.387323631,NA,c(-119.54031872279, 34.4010767013291),145615.1877,145.6151877,24,-119.5403187,34.4010767
38,181624,8/9/22,3.904951291,-4.021060338,9.823399116,9.823404595,235.7588501,235.7589816,5.605148268,NA,c(-118.698432861312, 33.679383745791),111611.4354,111.6114354,24,-118.6984329,33.67938375
39,181624,8/10/22,5.416610713,-2.654205187,8.199550789,8.199556776,310.361278,310.3615445,6.031954641,NA,c(-117.530635055365, 33.199633485664),120776.9363,120.7769363,24,-117.5306351,33.19963349
40,181624,8/11/22,6.547844543,-3.007260168,8.20957699,8.20958199,235.1566363,235.1566044,7.205406434,NA,c(-116.118948135883, 32.6528451778184),145108.0887,145.1080887,24,-116.1189481,32.65284518
41,181624,8/12/22,7.298652782,-5.080225279,9.798079775,9.798078446,0.004242429,0.004242429,8.892638603,NA,c(-114.545390212492, 31.7214444357052),180700.5545,180.7005545,24,-114.5453902,31.72144444
