id,date,lc,lon,lat
181626_Beluga,2022-07-17 00:00:00,G,-151.0108032,61.1726723
181626_Beluga,2022-07-19 00:00:00,G,-151.0174103,61.2150917
181626_Beluga,2022-07-21 00:00:00,G,-150.993927,61.1770477
181626_Beluga,2022-07-25 00:00:00,G,-151.025238,61.1660919
181626_Beluga,2022-07-27 00:00:00,G,-151.0454407,61.1529617
181626_Beluga,2022-07-29 00:00:00,G,-133.9013214,55.0538864
181626_Beluga,2022-07-31 00:00:00,G,-124.0607605,46.9631615
181626_Beluga,2022-08-02 00:00:00,G,-123.9701385,46.9679985
181626_Beluga,2022-08-04 00:00:00,G,-123.9700317,46.9680519
181626_Beluga,2022-08-06 00:00:00,G,-124.1243744,47.0322304
181626_Beluga,2022-08-08 00:00:00,G,-124.0075378,46.9951363
181626_Beluga,2022-08-10 00:00:00,G,-123.9607391,46.9670792
181626_Beluga,2022-08-12 00:00:00,G,-123.9630966,46.9674873
181626_Beluga,2022-08-14 00:00:00,G,-123.9621735,46.969101
181626_Beluga,2022-08-16 00:00:00,G,-124.0647049,46.9100914
181626_Beluga,2022-08-18 00:00:00,G,-122.4413071,38.1233521
181626_Beluga,2022-08-20 00:00:00,G,-122.1248932,37.5963783
181626_Beluga,2022-08-24 00:00:00,G,-122.1073303,37.616703
181626_Beluga,2022-08-26 00:00:00,G,-122.1282654,37.6053123
181626_Beluga,2022-08-28 00:00:00,G,-122.1326752,37.6030083
181626_Beluga,2022-08-30 00:00:00,G,-122.1392517,37.6052361
181626_Beluga,2022-09-01 00:00:00,G,-122.1407394,37.6041603
181626_Beluga,2022-09-03 00:00:00,G,-122.231926,37.5120239
181626_Beluga,2022-09-05 00:00:00,G,-122.2347107,37.511898
181626_Beluga,2022-09-07 00:00:00,G,-122.2345581,37.5096703
181626_Beluga,2022-09-11 00:00:00,G,-122.2326126,37.5092354
233811_Beluga,2022-06-10 00:00:00,G,-151.0164795,61.2110214
233811_Beluga,2022-06-15 00:00:00,G,-151.0178986,61.2120438
233811_Beluga,2022-06-20 00:00:00,G,-151.01651,61.2118416
233811_Beluga,2022-06-25 00:00:00,G,-150.9169006,61.2119675
233811_Beluga,2022-06-30 00:00:00,G,-150.9184418,61.2128639
233811_Beluga,2022-07-01 00:00:00,G,-150.918457,61.2130432
233811_Beluga,2022-07-03 00:00:00,G,-150.9184418,61.2129936
233811_Beluga,2022-07-05 00:00:00,G,-151.0166931,61.2118416
233811_Beluga,2022-07-07 00:00:00,G,-150.1302643,60.7982483
233811_Beluga,2022-07-09 00:00:00,G,-146.3188171,59.4272652
233811_Beluga,2022-07-11 00:00:00,G,-146.318604,59.4272652
233811_Beluga,2022-07-13 00:00:00,G,-146.39476,59.4036369
233811_Beluga,2022-07-15 00:00:00,G,-146.386597,59.4110603
233811_Beluga,2022-07-17 00:00:00,G,-146.377335,59.4103432
233811_Beluga,2022-07-19 00:00:00,G,-146.377106,59.4083443
233811_Beluga,2022-07-21 00:00:00,G,-120.645546,34.9635468
233811_Beluga,2022-07-23 00:00:00,G,-121.740608,36.8151436
233811_Beluga,2022-07-25 00:00:00,G,-121.789963,36.7923317
233811_Beluga,2022-07-27 00:00:00,G,-121.790398,36.7930222
233811_Beluga,2022-07-29 00:00:00,G,-121.791626,36.7894402
233811_Beluga,2022-07-31 00:00:00,G,-121.789452,36.7938423
233811_Beluga,2022-08-02 00:00:00,G,-121.789757,36.7933311
233811_Beluga,2022-08-04 00:00:00,G,-114.041718,27.6789627
233811_Beluga,2022-08-06 00:00:00,G,-109.37455,25.8487415
233811_Beluga,2022-08-08 00:00:00,G,-109.37233,25.8493824
233811_Beluga,2022-08-10 00:00:00,G,-109.374832,25.8486137
233811_Beluga,2022-08-12 00:00:00,G,-109.373505,25.8501759
233811_Beluga,2022-08-14 00:00:00,G,-109.375221,25.8483334
233811_Beluga,2022-08-16 00:00:00,G,-109.374863,25.8307972
233811_Beluga,2022-08-18 00:00:00,G,-109.360115,25.8091145
233811_Beluga,2022-08-20 00:00:00,G,-109.360603,25.8117752
