event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23522697363,TRUE,2022-08-24,-144.884567,60.3204994,,3D,246,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",232.3290092,-5.663950687,-0.604881055,0.296947035
23579119133,TRUE,2022-08-30,-151.241409,61.250267,,3D,166,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",157.3063599,0.572843898,0.459155187,1.30E-04
23357225715,TRUE,2022-07-19,-151.240891,61.2504196,,3D,128,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",119.3086011,0.362186903,4.656338069,-0.039520125
23357225718,TRUE,2022-07-25,-151.240799,61.2503929,,3D,125,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",116.3087423,-1.196776109,0.984638713,0.087047618
23370626597,TRUE,2022-08-06,-151.240891,61.2504196,,3D,120,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",111.3086011,0.987192176,3.341493288,-0.088998358
23522697360,TRUE,2022-08-24,-151.240799,61.2503929,,3D,120,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",111.3087423,NaN,NaN,NaN
23672712826,TRUE,2022-09-07,-151.240967,61.2504463,,3D,120,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",111.3085066,NaN,NaN,NaN
23404127963,TRUE,2022-08-12,-151.241104,61.2503662,,3D,120,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",111.3077241,NaN,NaN,NaN
23854283891,TRUE,2022-09-27,-151.240799,61.2504463,,3D,118,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",109.3089972,0.425605685,2.948320536,-0.127180078
24021219548,TRUE,2022-09-27,-151.240799,61.2504463,,3D,118,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",109.3089972,0.425605685,2.948320536,-0.127180078
