tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
181624,Beluga,2022,27-Jul-22,-124.0502396,46.89468,.,Limnodromus griseus,419998.4559,5193995.741,10N
181624,Beluga,2022,6-Aug-22,-120.2522278,37.1700592,.,Limnodromus griseus,743965.8751,4117273.893,10N
181624,Beluga,2022,8-Aug-22,-119.5403137,34.401062,.,Limnodromus griseus,266487.9093,3809552.218,11N
181624,Beluga,2022,10-Aug-22,-119.6627808,34.4213104,.,Limnodromus griseus,255286.5724,3812087.421,11N
181624,Beluga,2022,12-Aug-22,-114.545372,31.7214336,.,Limnodromus griseus,732583.021,3512179.908,11N
181624,Beluga,2022,14-Aug-22,-111.3942108,28.3638401,.,Limnodromus griseus,461370.9982,3137571.005,12N
181624,Beluga,2022,16-Aug-22,-109.5437698,26.6968956,.,Limnodromus griseus,644874.8702,2953691.618,12N
181624,Beluga,2022,20-Aug-22,-109.556976,26.6939526,.,Limnodromus griseus,643564.5568,2953350.667,12N
233820,King_Salmon,2022,25-Jul-22,-109.374374,25.8602886,-24,Limnodromus griseus,662894.4484,2861219.961,12N
233820,King_Salmon,2022,23-Jul-22,-113.068787,26.6279297,-26,Limnodromus griseus,294046.7433,2946893.07,12N
181624,Beluga,2022,22-Aug-22,-109.556313,26.6943607,.,Limnodromus griseus,643630.0144,2953396.621,12N
181624,Beluga,2022,26-Aug-22,-109.554573,26.6932354,.,Limnodromus griseus,643804.5591,2953273.926,12N
181624,Beluga,2022,28-Aug-22,-109.554237,26.6937218,.,Limnodromus griseus,643837.3809,2953328.187,12N
181624,Beluga,2022,30-Aug-22,-109.557137,26.6937733,.,Limnodromus griseus,643548.7619,2953330.623,12N
181624,Beluga,2022,3-Sep-22,-109.556236,26.6934395,.,Limnodromus griseus,643638.8314,2953294.661,12N
181624,Beluga,2022,5-Sep-22,-109.533585,26.7081089,.,Limnodromus griseus,645873.961,2954945.401,12N
181624,Beluga,2022,7-Sep-22,-109.55529,26.6939774,.,Limnodromus griseus,643732.285,2953355.313,12N
181624,Beluga,2022,9-Sep-22,-109.555161,26.6940041,.,Limnodromus griseus,643745.0871,2953358.417,12N
181624,Beluga,2022,11-Sep-22,-109.554497,26.6939259,.,Limnodromus griseus,643811.2542,2953350.503,12N
181624,Beluga,2022,13-Sep-22,-109.554138,26.693594,.,Limnodromus griseus,643847.3921,2953314.141,12N
181624,Beluga,2022,15-Sep-22,-109.586319,26.7008133,.,Limnodromus griseus,640636.4745,2954077.955,12N
181625,Beluga,2022,25-Jun-22,-150.9251709,61.2120209,.,Limnodromus griseus,611457.0626,6788172.513,5N
181625,Beluga,2022,30-Jun-22,-150.9511566,61.2188797,.,Limnodromus griseus,610037.5205,6788892.207,5N
233816,King_Salmon,2022,6-Aug-22,-109.780952,26.7666302,-28,Limnodromus griseus,621202.2199,2961168.555,12N
233816,King_Salmon,2022,2-Aug-22,-109.776344,26.7682953,-24,Limnodromus griseus,621658.6314,2961357.398,12N
233816,King_Salmon,2022,29-Jul-22,-109.773811,26.7693958,-20,Limnodromus griseus,621909.3157,2961481.727,12N
233816,King_Salmon,2022,27-Jul-22,-109.776245,26.7705212,-25,Limnodromus griseus,621666.1028,2961604.057,12N
233816,King_Salmon,2022,4-Aug-22,-109.822403,26.7825031,-21,Limnodromus griseus,617064.3747,2962887.963,12N
233816,King_Salmon,2022,30-Aug-22,-109.824806,26.7863426,-26,Limnodromus griseus,616821.5419,2963311.053,12N
233816,King_Salmon,2022,13-Sep-22,-109.811928,26.7866745,-17,Limnodromus griseus,618101.4602,2963359.718,12N
233816,King_Salmon,2022,15-Sep-22,-109.811958,26.786726,-15,Limnodromus griseus,618098.4244,2963365.395,12N
233816,King_Salmon,2022,16-Aug-22,-109.821091,26.7867775,-21,Limnodromus griseus,617190.4202,2963362.647,12N
233816,King_Salmon,2022,3-Sep-22,-109.819305,26.7868538,0,Limnodromus griseus,617367.8955,2963372.746,12N
233816,King_Salmon,2022,22-Aug-22,-109.823318,26.7869568,-19,Limnodromus griseus,616968.841,2963380.456,12N
233816,King_Salmon,2022,18-Aug-22,-109.824547,26.7869816,-14,Limnodromus griseus,616846.6358,2963382.073,12N
233816,King_Salmon,2022,12-Aug-22,-109.821556,26.7870083,-24,Limnodromus griseus,617143.9556,2963387.784,12N
233816,King_Salmon,2022,11-Sep-22,-109.821915,26.7870331,-24,Limnodromus griseus,617108.2405,2963390.2,12N
233816,King_Salmon,2022,1-Sep-22,-109.821732,26.7871876,-21,Limnodromus griseus,617126.2746,2963407.483,12N
233816,King_Salmon,2022,5-Sep-22,-109.823166,26.7872124,-19,Limnodromus griseus,616983.6898,2963408.909,12N
233816,King_Salmon,2022,9-Sep-22,-109.814156,26.7872391,-19,Limnodromus griseus,617879.3813,2963420.191,12N
233816,King_Salmon,2022,24-Aug-22,-109.824371,26.7873669,-21,Limnodromus griseus,616863.7379,2963424.914,12N
233816,King_Salmon,2022,26-Aug-22,-109.82296,26.7874947,-26,Limnodromus griseus,617003.8795,2963440.369,12N
233816,King_Salmon,2022,8-Aug-22,-109.823273,26.7876472,-16,Limnodromus griseus,616972.6066,2963456.973,12N
